PERMNO,date,TICKER,COMNAM,RET,RETX
85414,7/19/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013143,-0.013143
85414,7/22/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013318,-0.013318
85414,7/23/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.055164,-0.055164
85414,7/24/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007453,0.007453
85414,7/25/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.068434,0.068434
85414,7/26/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.055972,0.055972
85414,7/29/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.038251,0.038251
85414,7/30/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.017368,0.017368
85414,7/31/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.021211,0.021211
85414,8/1/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.036474,-0.036474
85414,8/2/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.017876,-0.017876
85414,8/5/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.014454,-0.014454
85414,8/6/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.026616,0.026616
85414,8/7/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.021164,0.021164
85414,8/8/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003109,0.003109
85414,8/9/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008781,0.008781
85414,8/12/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.016385,0.016385
85414,8/13/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.027708,-0.027708
85414,8/14/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003627,0.003627
85414,8/15/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.017553,0.017553
85414,8/16/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008118,0.008118
85414,8/19/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.011575,0.011575
85414,8/20/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.010945,-0.010945
85414,8/21/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003521,0.003521
85414,8/22/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006015,-0.006015
85414,8/23/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001009,0.001009
85414,8/26/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.012091,0.012091
85414,8/27/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.011946,-0.011946
85414,8/28/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009572,0.009572
85414,8/29/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.010479,0.010479
85414,8/30/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003951,0.003951
85414,9/3/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.035416,-0.035416
85414,9/4/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.020908,0.020908
85414,9/5/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.01049,-0.01049
85414,9/6/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.014639,-0.014639
85414,9/9/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019467,0.019467
85414,9/10/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.016583,-0.016583
85414,9/11/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.003577,-0.003577
85414,9/12/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001538,0.001538
85414,9/13/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009729,0.009729
85414,9/16/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.011156,-0.011156
85414,9/17/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.058462,-0.058462
85414,9/18/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.000545,0.000545
85414,9/19/02,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.010887,-0.010887
